Name,Team,POS,RTE,TGT,AY,REC,YDS,YAC
Elijah Arroyo,SEA,TE,13,2,25,,,
Darius Slayton,NYG,WR,36,4,84,2,16,3
Dare Ogunbowale,HST,RB,7,1,2,1,9,7
Nico Collins,HST,WR,62,13,128,11,134,28
Jake Ferguson,DAL,TE,54,9,40,9,72,32
Jerry Jeudy,CLV,WR,54,8,114,5,80,5
Davante Adams,LA,WR,33,7,115,7,151,36
J.K. Dobbins,DEN,RB,5,1,1,1,6,5
Emari Demercado,ARZ,RB,10,1,4,1,7,3
Jordan Whittington,LA,WR,13,1,11,1,19,8
Josh Whyle,GB,TE,5,1,5,1,8,3
Travis Etienne,JAX,RB,18,5,9,4,45,33
Quentin Skinner,NYJ,WR,1,,,,,
Samaje Perine,CIN,RB,10,3,-4,2,14,18
Bam Knight,ARZ,RB,7,3,2,2,13,6
Jaret Patterson,LAC,RB,4,,,,,
Saquon Barkley,PHI,RB,27,4,20,3,23,24
Evan Engram,DEN,TE,43,11,84,7,63,38
Keleki Latu,BUF,TE,2,,,,,
Jamari Thrash,CLV,WR,14,1,3,1,4,1
Matthew Golden,GB,WR,28,8,121,5,36,12
Will Dissly,LAC,TE,2,,,,,
Miles Sanders,DAL,RB,4,2,5,2,6,1
Charlie Jones,CIN,WR,2,,,,,
Rasheen Ali,BLT,RB,15,3,-3,2,,4
KhaDarel Hodge,ATL,WR,4,,,,,
Pat Bryant,DEN,WR,29,3,24,3,35,11
Marquez Valdes-Scantling,PIT,WR,16,1,-1,1,7,8
Dylan Sampson,CLV,RB,20,7,-4,6,112,117
Jawhar Jordan,HST,RB,1,,,,,
Adonai Mitchell,NYJ,WR,39,6,147,2,34,7
Nick Westbrook-Ikhine,MIA,WR,11,1,10,1,17,7
Jake Bobo,SEA,WR,2,,,,,
Brevyn Spann-Ford,DAL,TE,7,,,,,
Tyler Higbee,LA,TE,20,5,48,4,76,44
Ben Sims,MIN,TE,4,2,17,1,3,-2
Tahj Brooks,CIN,RB,1,,,,,
Kayshon Boutte,NE,WR,29,5,126,3,64,3
Hunter Long,JAX,TE,11,3,13,2,14,6
Sal Cannella,CLV,TE,1,,,,,
Jonathan Mingo,DAL,WR,4,,,,,
Cooper Kupp,SEA,WR,36,8,59,4,37,6
Steven Sims,ARZ,WR,1,,,,,
Tommy Tremble,CAR,TE,10,3,8,3,15,7
Ja'Marr Chase,CIN,WR,58,15,158,12,162,59
Adam Trautman,DEN,TE,19,4,32,2,14,7
D'Andre Swift,CHI,RB,21,8,-21,6,47,65
Justice Hill,BLT,RB,9,2,2,2,16,14
Anthony Firkser,DET,TE,2,,,,,
Tyler Conklin,LAC,TE,2,,,,,
James Conner,ARZ,RB,6,,,,,
Kyle Williams,NE,WR,12,1,12,1,12,
Chris Brooks,GB,RB,6,1,,1,8,8
Christian Watson,GB,WR,29,6,196,3,48,2
Tom Kennedy,DET,WR,4,1,2,1,2,
Josh Oliver,MIN,TE,12,1,5,1,8,3
Nick Chubb,HST,RB,19,5,12,3,11,5
Michael Carter,ARZ,RB,29,3,4,3,26,22
Tyjae Spears,TEN,RB,30,8,-33,8,49,82
DJ Moore,CHI,WR,53,11,138,7,111,42
Keaton Mitchell,BLT,RB,2,2,-9,2,5,14
Bucky Irving,TB,RB,15,5,8,5,131,123
Brenden Bates,CLV,TE,4,,,,,
Rome Odunze,CHI,WR,41,7,85,4,57,13
Jacory Croskey-Merritt,WAS,RB,13,2,-5,1,3,1
Isaiah Davis,NYJ,RB,19,5,6,5,60,54
Colby Parkinson,LA,TE,18,4,17,4,36,19
Isaiah Bond,CLV,WR,28,5,59,3,19,5
Tyler Allgeier,ATL,RB,7,2,-3,1,12,15
KeAndre Lambert-Smith,LAC,WR,4,1,4,1,6,2
Foster Moreau,NO,TE,5,2,1,2,13,12
Josh Downs,IND,WR,47,13,100,10,106,19
Tetairoa McMillan,CAR,WR,34,5,57,3,35,7
Devaughn Vele,NO,WR,23,1,12,1,12,
Khalil Herbert,NYJ,RB,3,1,-5,1,4,9
Quinshon Judkins,CLV,RB,6,2,7,1,2,
Zamir White,LV,RB,3,,,,,
Ameer Abdullah,IND,RB,13,6,-9,6,41,50
David Sills,ATL,WR,23,4,37,2,29,14
Trayveon Williams,CLV,RB,1,,,,,
Devin Singletary,NYG,RB,10,1,-6,1,-4,2
Gage Larvadain,CLV,WR,9,1,8,1,13,5
Isaiah Hodgins,NYG,WR,11,,,,,
Tanner Conner,MIA,TE,6,2,18,1,1,2
Quintin Morris,JAX,TE,4,1,4,1,5,1
Moliki Matavao,NO,TE,2,,,,,
Tahj Washington,MIA,WR,2,1,44,,,
Ja'Tavion Sanders,CAR,TE,16,4,25,4,31,6
Jahdae Walker,CHI,WR,1,1,23,,,
Jauan Jennings,SF,WR,43,12,129,7,83,14
Teagan Quitoriano,ATL,TE,1,,,,,
Ashton Dulin,IND,WR,3,,,,,
Andrew Ogletree,IND,TE,9,1,5,,,
Jaylen Warren,PIT,RB,29,12,-7,9,124,136
Kendrick Bourne,SF,WR,35,5,33,3,39,8
Jack Bech,LV,WR,15,4,27,3,16,
Hassan Haskins,LAC,RB,8,,,,,
Dareke Young,SEA,WR,3,,,,,
Juwan Johnson,NO,TE,36,7,62,6,107,51
David Montgomery,DET,RB,15,6,-1,6,49,50
Mack Hollins,NE,WR,27,6,86,5,46,7
Kenneth Gainwell,PIT,RB,30,8,-22,8,61,83
Bhayshul Tuten,JAX,RB,4,,,,,
Casey Washington,ATL,WR,7,3,47,1,17,
Kevin Austin,NO,WR,11,4,19,2,22,7
Tyler Badie,DEN,RB,23,6,-5,4,22,34
Jalen Brooks,ARZ,WR,10,1,21,,,
KaVontae Turpin,DAL,WR,28,2,4,1,4,-2
John Metchie,NYJ,WR,23,4,42,2,24,12
Jalen Nailor,MIN,WR,42,5,66,3,32,10
Marquise Brown,KC,WR,36,5,23,5,41,18
Jayden Higgins,HST,WR,35,10,152,6,53,7
Skyy Moore,SF,WR,9,1,8,,,
David Martin-Robinson,TEN,TE,1,,,,,
Luke Schoonmaker,DAL,TE,18,4,14,3,42,31
Nate Adkins,DEN,TE,4,2,2,1,-2,1
Tre Harris,LAC,WR,21,1,8,,,
Jack Stoll,NO,TE,4,1,-1,,,
Russell Gage,SF,WR,1,,,,,
Darius Cooper,PHI,WR,11,2,13,2,23,10
Shane Zylstra,DET,TE,4,,,,,
Malik Heath,GB,WR,11,,,,,
Mitchell Evans,CAR,TE,3,,,,,
Jalen McMillan,TB,WR,6,2,26,1,19,2
D'Ernest Johnson,NE,RB,1,,,,,
Theo Johnson,NYG,TE,39,9,56,5,33,18
Jahan Dotson,PHI,WR,31,3,23,2,17,
DeVonta Smith,PHI,WR,36,4,87,3,77,5
Giovanni Ricci,DET,TE,1,,,,,
Jameson Williams,DET,WR,44,4,49,3,77,39
Xavier Restrepo,TEN,WR,7,2,17,1,15,4
Woody Marks,HST,RB,34,3,2,3,13,11
James Proche,TEN,WR,10,,,,,
Puka Nacua,LA,WR,41,13,129,9,156,77
Aaron Jones,MIN,RB,24,5,-16,3,23,31
Luke Farrell,SF,TE,19,3,9,3,20,11
Nyheim Hines,NO,RB,1,,,,,
Luke Musgrave,GB,TE,35,6,24,5,49,26
DeMario Douglas,NE,WR,10,2,26,1,17,1
James Mitchell,CAR,TE,2,1,1,1,11,10
Cade Otton,TB,TE,31,6,24,6,40,16
Malik Nabers,NYG,WR,13,4,90,1,13,
Christian Kirk,HST,WR,33,4,30,3,54,34
Xavier Weaver,ARZ,WR,20,2,43,,,
Colson Yankoff,WAS,TE,2,,,,,
Dylan Laube,LV,RB,1,1,-4,1,13,17
Taysom Hill,NO,TE,6,1,4,1,5,1
Brian Robinson,SF,RB,5,3,-6,2,3,8
Alvin Kamara,NO,RB,14,5,-2,4,15,23
Gunner Olszewski,NYG,WR,2,,,,,
Jimmy Horn,CAR,WR,6,2,-3,2,14,17
Tai Felton,MIN,WR,2,1,6,1,6,
Tucker Fisk,LAC,TE,3,,,,,
Ray-Ray McCloud,NYG,WR,14,3,8,2,36,25
Eric Saubert,SEA,TE,9,1,-2,1,1,3
DK Metcalf,PIT,WR,51,10,132,5,94,15
Mark Andrews,BLT,TE,25,6,31,5,39,13
Parker Washington,JAX,WR,30,4,134,,,
Braxton Berrios,HST,WR,13,2,5,,,
Thomas Fidone,NYG,TE,1,,,,,
Travis Hunter,JAX,WR,20,5,57,4,54,16
Blake Corum,LA,RB,12,2,14,,,
Julian Hill,MIA,TE,6,4,15,3,27,19
Tyquan Thornton,KC,WR,27,2,75,2,93,18
Breece Hall,NYJ,RB,29,3,14,3,18,4
Trent Sherfield,ARZ,WR,7,2,35,1,15,9
Evan Hull,NO,RB,3,,,,,
Greg Dortch,ARZ,WR,23,8,26,6,32,46
Tip Reiman,ARZ,TE,6,1,9,,,
Tyrell Shavers,BUF,WR,11,1,46,1,43,
Javonte Williams,DAL,RB,41,9,2,7,24,26
Courtland Sutton,DEN,WR,63,9,110,7,89,27
Audric Estime,NO,RB,7,1,-6,1,11,17
Charlie Kolar,BLT,TE,2,,,,,
Zach Ertz,WAS,TE,24,4,24,3,31,16
Darnell Washington,PIT,TE,22,7,49,6,91,55
Davis Allen,LA,TE,20,4,16,3,32,14
Jonathan Taylor,IND,RB,50,7,-4,5,17,22
Troy Franklin,DEN,WR,56,9,100,6,41,10
Jakobie Keeney-James,GB,WR,1,,,,,
Tyler Goodson,IND,RB,6,1,-1,1,,1
Jordan Mason,MIN,RB,24,2,-6,2,8,14
Tre Tucker,LV,WR,41,3,34,2,38,13
Michael Pittman,IND,WR,67,15,180,10,109,35
Tim Jones,JAX,WR,1,,,,,
Malik Washington,MIA,WR,25,2,-6,2,7,13
Xavier Hutchinson,HST,WR,54,7,74,5,49,9
Simi Fehoko,ARZ,WR,2,,,,,
T.J. Hockenson,MIN,TE,46,5,13,4,18,12
Stone Smartt,NYJ,TE,10,,,,,
Tim Patrick,JAX,WR,7,1,15,,,
Josh Reynolds,NYJ,WR,22,3,101,1,13,1
Noah Gray,KC,TE,21,5,54,2,23,11
Brian Thomas,JAX,WR,34,3,54,1,6,2
Chimere Dike,TEN,WR,42,6,70,3,48,17
Dalton Kincaid,BUF,TE,17,6,16,5,40,34
Jakobi Meyers,JAX,WR,33,5,29,4,33,17
Hunter Henry,NE,TE,35,4,40,3,41,7
DeAndre Hopkins,BLT,WR,14,3,59,3,62,3
Jahmyr Gibbs,DET,RB,35,10,-28,7,58,74
Zavier Scott,MIN,RB,3,1,-6,1,5,11
Gabe Davis,BUF,WR,8,,,,,
Ian Thomas,LV,TE,1,1,3,1,4,1
Zay Flowers,BLT,WR,35,6,24,4,18,19
Michael Wilson,ARZ,WR,65,10,98,8,118,46
Austin Hooper,NE,TE,14,2,12,2,13,1
Justin Watson,HST,WR,2,,,,,
Rashee Rice,KC,WR,32,10,82,7,126,66
Ty Chandler,MIN,RB,2,1,-6,1,2,8
Britain Covey,PHI,WR,6,1,3,,,
Jaylen Wright,MIA,RB,1,1,-3,1,,3
Devin Culp,TB,TE,2,,,,,
Tyrone Tracy,NYG,RB,29,4,9,3,36,44
Michael Mayer,LV,TE,17,3,-5,2,18,18
Marvin Harrison,ARZ,WR,42,7,116,2,30,-3
Jelani Woods,NYJ,TE,4,,,,,
Mo Alie-Cox,IND,TE,18,2,10,2,16,6
Bryce Oliver,TEN,WR,2,,,,,
Ollie Gordon,MIA,RB,5,,,,,
Sean Tucker,TB,RB,4,1,6,,,
Brashard Smith,KC,RB,7,1,-3,1,9,12
John FitzPatrick,GB,TE,11,1,2,1,6,4
Tank Bigsby,PHI,RB,1,,,,,
Jordan Watkins,SF,WR,1,,,,,
Cedrick Wilson,MIA,WR,1,,,,,
Keon Coleman,BUF,WR,19,3,38,3,38,
Lil'Jordan Humphrey,DEN,WR,14,5,42,4,39,9
Jordan Addison,MIN,WR,49,16,299,12,269,79
Tyler Lockett,LV,WR,39,6,29,5,33,10
De'Von Achane,MIA,RB,29,10,-3,7,47,53
Mike Evans,TB,WR,15,2,15,1,11,1
Xavier Smith,LA,WR,13,2,43,2,45,2
Kenneth Walker,SEA,RB,19,3,3,3,9,6
Andrei Iosivas,CIN,WR,41,3,20,1,11,5
Hunter Renfrow,CAR,WR,7,1,5,1,5,
Isaac TeSlaa,DET,WR,19,,,,,
Allen Lazard,NYJ,WR,18,,,,,
Darnell Mooney,ATL,WR,40,8,153,5,62,7
Jeremy Ruckert,NYJ,TE,19,3,12,3,22,10
Kalif Raymond,DET,WR,19,,,,,
Stefon Diggs,NE,WR,37,7,46,5,36,14
Jaydon Blue,DAL,RB,1,,,,,
Kyle Monangai,CHI,RB,27,3,-4,2,22,30
Ashton Jeanty,LV,RB,25,6,-28,5,17,41
Ben Sinnott,WAS,TE,11,,,,,
Zay Jones,ARZ,WR,15,1,3,1,4,1
Jaylin Noel,HST,WR,26,5,77,4,76,20
Daniel Bellinger,NYG,TE,16,1,3,,,
Drew Sample,CIN,TE,28,4,7,4,34,27
Dylan Drummond,ATL,WR,3,,,,,
Devontez Walker,BLT,WR,5,,,,,
Austin Ekeler,WAS,RB,5,,,,,
Tanner Hudson,CIN,TE,5,1,4,,,
Curtis Samuel,BUF,WR,5,,,,,
Chase Brown,CIN,RB,44,14,-14,13,72,111
Will Shipley,PHI,RB,13,1,13,1,11,-2
Kyren Williams,LA,RB,35,6,-8,4,21,21
Payne Durham,TB,TE,3,,,,,
Tucker Kraft,GB,TE,16,1,6,1,8,2
Dawson Knox,BUF,TE,16,5,32,4,51,32
Emeka Egbuka,TB,WR,37,9,203,5,149,31
Noah Brown,WAS,WR,4,2,36,1,9,3
Malik Davis,DAL,RB,6,2,6,,,
Marcedes Lewis,DEN,TE,1,,,,,
Dontayvion Wicks,GB,WR,29,4,60,2,14,
Trey McBride,ARZ,TE,68,16,96,14,151,62
John Bates,WAS,TE,9,2,11,1,10,9
Dont'e Thornton,LV,WR,16,3,52,2,11,2
Cam Skattebo,NYG,RB,14,3,7,2,10,8
Harold Fannin,CLV,TE,34,6,9,6,38,29
Terry McLaurin,WAS,WR,29,7,154,6,156,39
Chris Godwin,TB,WR,18,3,15,3,21,6
Devin Neal,NO,RB,18,1,,1,18,18
Oronde Gadsden,LAC,TE,52,6,52,4,63,30
TreVeyon Henderson,NE,RB,11,2,3,2,15,12
Jayden Reed,GB,WR,10,1,-1,1,1,2
Kyle Pitts,ATL,TE,47,11,62,9,122,66
Dante Pettis,NO,WR,8,2,63,1,26,3
Jalen Coker,CAR,WR,20,3,7,2,26,19
Raheem Mostert,LV,RB,10,2,-3,2,9,12
Arian Smith,NYJ,WR,22,2,57,,,
Marvin Mims,DEN,WR,29,9,17,7,27,36
Dallas Goedert,PHI,TE,32,6,55,5,58,17
Cedric Tillman,CLV,WR,37,5,38,3,22,
Calvin Ridley,TEN,WR,10,2,57,,,
David Moore,CAR,WR,2,,,,,
Amon-Ra St. Brown,DET,WR,38,13,105,11,116,44
Chris Moore,WAS,WR,16,1,21,,,
Tutu Atwell,LA,WR,22,1,38,1,38,
Josh Palmer,BUF,WR,17,1,16,,,
Isaiah Williams,NYJ,WR,23,3,4,2,4,4
Mason Kinsey,TEN,WR,8,1,19,,,
Omarion Hampton,LAC,RB,16,1,1,1,1,
Charlie Woerner,ATL,TE,10,,,,,
Harrison Bryant,HST,TE,8,,,,,
Tylan Wallace,BLT,WR,3,,,,,
Jonnu Smith,PIT,TE,31,6,7,5,37,34
