Name,Team,POS,RTE,TGT,REC,YDS,AY,YAC
Isaiah Davis,NYJ,RB,1,,,,,
Colby Parkinson,LA,TE,11,,,,,
Rome Odunze,CHI,WR,14,5,3,57,89,11
D.J. Moore,CHI,WR,14,5,3,96,130,2
Bucky Irving,TB,RB,8,,,,,
Josh Oliver,MIN,TE,10,2,2,50,44,6
Nick Chubb,CLV,RB,3,,,,,
Michael Carter,ARZ,RB,4,,,,,
Tyjae Spears,TEN,RB,4,,,,,
Devin Singletary,NYG,RB,6,,,,,
Ameer Abdullah,LV,RB,4,,,,,
Trey Sermon,IND,RB,6,,,,,
Josh Downs,IND,WR,12,4,3,53,64,6
Devaughn Vele,DEN,WR,10,3,3,73,58,15
Tyler Allgeier,ATL,RB,3,,,,,
Foster Moreau,NO,TE,11,2,2,62,36,26
Juwan Johnson,NO,TE,22,8,6,132,131,32
David Montgomery,DET,RB,5,,,,,
Mack Hollins,BUF,WR,13,2,,,66,
Tyler Boyd,TEN,WR,20,2,1,20,41,9
Andrew Ogletree,IND,TE,6,1,,,22,
Jaylen Warren,PIT,RB,4,,,,,
Kendrick Bourne,NE,WR,9,3,2,34,47,10
Hassan Haskins,LAC,RB,1,,,,,
Jauan Jennings,SF,WR,15,6,4,94,118,8
Teagan Quitoriano,HST,TE,1,,,,,
Ashton Dulin,IND,WR,6,2,1,54,32,35
Tanner Conner,MIA,TE,1,1,,,39,
Ja'Tavion Sanders,CAR,TE,9,1,1,29,23,6
Jalen Nailor,MIN,WR,18,4,1,31,109,
John Metchie,HST,WR,13,4,3,56,68,11
Marquise Brown,KC,WR,1,,,,,
KaVontae Turpin,DAL,WR,4,2,2,39,31,8
Jamison Crowder,WAS,WR,3,1,1,9,17,
Jordan Mims,NO,RB,1,,,,,
Kevin Austin,NO,WR,8,,,,,
Jalen Brooks,DAL,WR,2,,,,,
Kenneth Gainwell,PHI,RB,1,,,,,
Jordan Whittington,LA,WR,5,,,,,
Josh Whyle,TEN,TE,5,,,,,
Travis Etienne,JAX,RB,6,,,,,
Samaje Perine,KC,RB,3,,,,,
J.K. Dobbins,LAC,RB,3,,,,,
Emari Demercado,ARZ,RB,2,,,,,
Dare Ogunbowale,HST,RB,7,,,,,
Nico Collins,HST,WR,24,12,8,257,269,64
Jerry Jeudy,CLV,WR,16,6,3,149,169,65
Jake Ferguson,DAL,TE,2,1,,,14,
Davante Adams,NYJ,WR,9,2,1,18,53,5
Equanimeous St. Brown,NO,WR,2,,,,,
Darius Slayton,NYG,WR,11,8,4,141,165,47
Amari Cooper,BUF,WR,8,3,1,12,84,
Connor Heyward,PIT,TE,1,,,,,
Adonai Mitchell,IND,WR,9,3,,,73,
Nick Westbrook-Ikhine,TEN,WR,17,1,1,17,17,
Jake Bobo,SEA,WR,3,,,,,
Brevyn Spann-Ford,DAL,TE,2,,,,,
Parris Campbell,PHI,WR,4,,,,,
Marquez Valdes-Scantling,NO,WR,12,6,4,120,165,16
Will Dissly,LAC,TE,8,,,,,
KhaDarel Hodge,ATL,WR,4,2,1,22,44,6
Miles Sanders,CAR,RB,5,,,,,
Rasheen Ali,BLT,RB,1,,,,,
Saquon Barkley,PHI,RB,5,,,,,
Evan Engram,JAX,TE,7,,,,,
Jamari Thrash,CLV,WR,2,,,,,
Adam Trautman,DEN,TE,7,,,,,
Ja'Marr Chase,CIN,WR,14,4,3,129,110,31
D'Andre Swift,CHI,RB,2,,,,,
Jonathan Mingo,DAL,WR,2,1,,,42,
Cooper Kupp,LA,WR,10,4,1,27,66,3
Tommy Tremble,CAR,TE,5,,,,,
Kayshon Boutte,NE,WR,16,4,2,55,139,10
Hunter Long,LA,TE,1,,,,,
Ben Sims,GB,TE,4,,,,,
DeAndre Carter,CHI,WR,1,,,,,
Robbie Chosen,MIA,WR,1,,,,,
Chris Brooks,GB,RB,5,,,,,
Christian Watson,GB,WR,13,5,1,44,166,4
Dallin Holker,NO,TE,2,,,,,
James Conner,ARZ,RB,1,,,,,
Justice Hill,BLT,RB,7,,,,,
Anthony Firkser,KC,TE,1,,,,,
Sincere McCormick,LV,RB,1,,,,,
K.J. Osborn,WAS,WR,3,1,1,22,24,
Tyler Conklin,NYJ,TE,12,2,1,25,35,6
Tyler Goodson,IND,RB,1,,,,,
Jordan Mason,SF,RB,7,,,,,
Grant DuBose,MIA,WR,2,,,,,
Tim Jones,JAX,WR,1,,,,,
Michael Pittman,IND,WR,22,8,4,92,147,22
Tre Tucker,LV,WR,12,2,,,55,
Malik Washington,MIA,WR,15,1,1,19,16,3
Jonathan Taylor,IND,RB,15,,,,,
Troy Franklin,DEN,WR,10,5,2,45,140,8
Audric Estime,DEN,RB,2,,,,,
Charlie Kolar,BLT,TE,1,,,,,
Darnell Washington,PIT,TE,1,1,1,25,12,13
Zach Ertz,WAS,TE,12,2,1,14,32,2
Greg Dortch,ARZ,WR,5,,,,,
Tip Reiman,ARZ,TE,1,,,,,
Davis Allen,LA,TE,4,1,,,15,
Javonte Williams,DEN,RB,10,,,,,
Cam Akers,MIN,RB,6,,,,,
JaMycal Hasty,NE,RB,3,,,,,
Courtland Sutton,DEN,WR,23,11,4,83,244,18
Zay Flowers,BLT,WR,20,10,6,167,236,57
Tyrell Shavers,BUF,WR,1,,,,,
Michael Wilson,ARZ,WR,7,2,2,40,36,4
River Cracraft,MIA,WR,5,2,2,31,29,2
Dalton Kincaid,BUF,TE,5,1,1,25,14,11
Jakobi Meyers,LV,WR,10,5,2,39,88,5
Hunter Henry,NE,TE,13,3,1,32,63,7
Nelson Agholor,BLT,WR,10,2,1,29,47,5
Jahmyr Gibbs,DET,RB,5,,,,,
Gabe Davis,JAX,WR,7,1,,,42,
Odell Beckham,MIA,WR,4,1,,,19,
D.J. Turner,LV,WR,5,,,,,
Tim Patrick,DET,WR,10,3,1,29,60,9
Tay Martin,TEN,WR,1,1,1,49,44,5
Josh Reynolds,JAX,WR,11,3,2,58,73,8
Noah Gray,KC,TE,8,4,3,61,82,16
Brian Thomas,JAX,WR,17,10,5,200,364,29
DeAndre Hopkins,KC,WR,9,1,,,14,
Eric Tomlinson,LAC,TE,1,,,,,
Xavier Hutchinson,HST,WR,8,1,1,19,19,
Simi Fehoko,LAC,WR,2,1,,,13,
Ezekiel Elliott,DAL,RB,3,,,,,
Stone Smartt,LAC,TE,3,1,1,31,27,4
T.J. Hockenson,MIN,TE,17,3,1,29,61,11
Mo Alie-Cox,IND,TE,6,,,,,
Bryce Oliver,TEN,WR,2,1,1,33,25,8
Devin Culp,TB,TE,2,,,,,
Tyrone Tracy,NYG,RB,3,,,,,
Michael Mayer,LV,TE,5,,,,,
Marvin Harrison,ARZ,WR,8,3,2,45,59,3
Collin Johnson,CHI,WR,1,,,,,
Jaylen Wright,MIA,RB,1,,,,,
Ihmir Smith-Marsette,NYG,WR,1,,,,,
Austin Hooper,NE,TE,5,4,3,78,81,18
Justin Watson,KC,WR,9,1,,,49,
Ty Chandler,MIN,RB,2,,,,,
Britain Covey,PHI,WR,1,,,,,
De'Von Achane,MIA,RB,22,1,1,20,19,1
Mike Evans,TB,WR,11,3,1,34,50,12
Kenneth Walker,SEA,RB,4,,,,,
Keon Coleman,BUF,WR,8,2,1,24,47,6
Lil'Jordan Humphrey,DEN,WR,11,1,,,13,
Jordan Addison,MIN,WR,27,6,3,143,180,30
Tyler Lockett,SEA,WR,12,1,1,17,12,5
Tank Bigsby,JAX,RB,3,,,,,
Mike Woods,CLV,WR,7,,,,,
Xavier Gipson,NYJ,WR,1,,,,,
Cedrick Wilson,NO,WR,7,3,3,56,40,16
John FitzPatrick,GB,TE,1,,,,,
Mecole Hardman,KC,WR,1,,,,,
Shane Zylstra,DET,TE,1,,,,,
Malik Heath,GB,WR,4,,,,,
Luke Schoonmaker,DAL,TE,3,,,,,
Nate Adkins,DEN,TE,2,,,,,
Chris Conley,SF,WR,5,,,,,
Travis Homer,CHI,RB,2,,,,,
Aaron Jones,MIN,RB,17,,,,,
Luke Farrell,JAX,TE,4,,,,,
Luke Musgrave,GB,TE,3,,,,,
Christian Kirk,JAX,WR,7,4,1,24,119,4
Puka Nacua,LA,WR,8,4,3,92,88,18
Joe Mixon,HST,RB,11,,,,,
Eric Gray,NYG,RB,2,,,,,
Trenton Irwin,CIN,WR,2,1,,,28,
Jameson Williams,DET,WR,15,6,2,57,178,6
Jalen McMillan,TB,WR,10,4,2,31,96,4
D'Ernest Johnson,JAX,RB,4,,,,,
Theo Johnson,NYG,TE,7,1,1,22,15,7
Jahan Dotson,PHI,WR,7,1,1,19,13,6
DeVonta Smith,PHI,WR,5,3,3,71,66,13
Ray-Ray McCloud,ATL,WR,14,3,2,36,49,1
Eric Saubert,SF,TE,5,,,,,
Brian Robinson,WAS,RB,4,,,,,
Alvin Kamara,NO,RB,14,,,,,
Tucker Fisk,LAC,TE,1,,,,,
Gus Edwards,LAC,RB,4,,,,,
Taysom Hill,NO,TE,6,,,,,
Demario Douglas,NE,WR,13,3,1,18,80,7
Sione Vaki,DET,RB,1,1,1,17,15,2
Alexander Mattison,LV,RB,5,,,,,
Cade Otton,TB,TE,5,1,1,15,13,2
Malik Nabers,NYG,WR,12,4,2,33,112,2
Raheem Blackshear,CAR,RB,1,,,,,
Tank Dell,HST,WR,23,9,6,135,253,12
Xavier Weaver,ARZ,WR,1,,,,,
Breece Hall,NYJ,RB,13,,,,,
Trent Sherfield,MIN,WR,2,,,,,
Dameon Pierce,HST,RB,2,,,,,
Pierre Strong,CLV,RB,3,,,,,
Jha'Quan Jackson,TEN,WR,1,1,,,40,
Rakim Jarrett,TB,WR,3,,,,,
Julian Hill,MIA,TE,6,2,,,37,
Erick All,CIN,TE,2,,,,,
Braxton Berrios,MIA,WR,1,,,,,
Kendre Miller,NO,RB,3,,,,,
Diontae Johnson,HST,WR,3,1,1,10,11,
DK Metcalf,SEA,WR,12,8,4,85,186,7
Mark Andrews,BLT,TE,14,3,2,37,62,3
Parker Washington,JAX,WR,7,1,,,30,
MyCole Pruitt,PIT,TE,1,1,1,18,13,5
Elijah Higgins,ARZ,TE,4,1,,,14,
Allen Robinson,DET,WR,1,,,,,
Adam Thielen,CAR,WR,4,2,,,33,
Braelon Allen,NYJ,RB,1,,,,,
Tylan Wallace,BLT,WR,3,,,,,
Jonnu Smith,MIA,TE,25,3,2,30,38,7
Josh Palmer,LAC,WR,10,6,2,55,188,6
Antonio Gibson,NE,RB,2,,,,,
Mason Kinsey,TEN,WR,1,,,,,
Charlie Woerner,ATL,TE,2,,,,,
David Moore,CAR,WR,10,2,1,14,33,
Amon-Ra St. Brown,DET,WR,17,3,1,23,55,4
Tutu Atwell,LA,WR,8,4,2,74,125,5
Garrett Wilson,NYJ,WR,17,6,2,40,123,22
Jeff Wilson,MIA,RB,6,,,,,
Kenny McIntosh,SEA,RB,1,,,,,
Kameron Johnson,TB,WR,1,,,,,
Dyami Brown,WAS,WR,4,,,,,
Johnny Wilson,PHI,WR,1,,,,,
Erik Ezukanma,MIA,WR,1,,,,,
Emanuel Wilson,GB,RB,3,,,,,
Blake Whiteheart,CLV,TE,2,1,,,16,
Quentin Johnston,LAC,WR,9,,,,,
AJ Barner,SEA,TE,3,2,2,24,30,3
Zach Charbonnet,SEA,RB,6,,,,,
Chuba Hubbard,CAR,RB,6,,,,,
Jared Wayne,HST,WR,1,,,,,
Xavier Worthy,KC,WR,10,5,,,177,
Malachi Corley,NYJ,WR,1,,,,,
Elijah Moore,CLV,WR,12,3,1,13,56,
Rachaad White,TB,RB,10,,,,,
Ty Johnson,BUF,RB,7,,,,,
Van Jefferson,PIT,WR,7,3,2,64,75,28
Derrick Henry,BLT,RB,8,,,,,
Kareem Hunt,KC,RB,2,,,,,
Brandon Powell,MIN,WR,3,,,,,
Calvin Austin,PIT,WR,6,2,2,69,66,6
Ronnie Bell,SF,WR,2,,,,,
Jacob Cowing,SF,WR,3,1,,,13,
Geoff Swaim,CLV,TE,1,,,,,
Bijan Robinson,ATL,RB,9,,,,,
Jaleel McLaughlin,DEN,RB,9,,,,,
Cordarrelle Patterson,PIT,RB,1,,,,,
Isiah Pacheco,KC,RB,1,,,,,
Pat Freiermuth,PIT,TE,8,2,,,37,
Zay Jones,ARZ,WR,4,2,1,25,50,1
Irv Smith,HST,TE,1,,,,,
Stefon Diggs,HST,WR,13,4,2,45,70,5
Darnell Mooney,ATL,WR,17,7,3,95,161,30
Jeremy Ruckert,NYJ,TE,5,1,,,18,
Kalif Raymond,DET,WR,3,,,,,
Andrei Iosivas,CIN,WR,11,2,2,46,39,7
Brandon Aiyuk,SF,WR,6,1,1,21,15,6
Allen Lazard,NYJ,WR,14,5,4,97,101,22
Tanner Hudson,CIN,TE,3,,,,,
Curtis Samuel,BUF,WR,6,1,,,18,
Chase Brown,CIN,RB,9,,,,,
Najee Harris,PIT,RB,5,,,,,
Austin Ekeler,WAS,RB,4,,,,,
Daniel Bellinger,NYG,TE,3,,,,,
Drew Sample,CIN,TE,4,,,,,
Trey McBride,ARZ,TE,9,2,,,45,
Patrick Taylor,SF,RB,1,,,,,
Carson Steele,KC,RB,1,,,,,
John Bates,WAS,TE,2,,,,,
Jalen Reagor,LAC,WR,2,,,,,
Dawson Knox,BUF,TE,11,1,,,34,
Noah Brown,WAS,WR,8,6,4,96,101,22
Dontayvion Wicks,GB,WR,13,3,1,17,69,
Kyren Williams,LA,RB,13,,,,,
Trey Palmer,TB,WR,5,2,1,15,71,
Tucker Kraft,GB,TE,17,2,2,26,33,
Payne Durham,TB,TE,5,1,1,31,18,13
Marvin Mims,DEN,WR,6,3,1,51,122,
Dallas Goedert,PHI,TE,5,2,2,65,51,14
Roschon Johnson,CHI,RB,4,,,,,
Cedric Tillman,CLV,WR,5,4,1,38,110,
Raheem Mostert,MIA,RB,7,,,,,
Calvin Ridley,TEN,WR,20,16,7,207,366,43
