teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPasserRating,opponentStatsPassingAttemptsCatchablePercentage
17,Los Angeles,Rams,True,SEA,NFC,NFC West,Open,Open,Cover 2,13,17,17,4,-0.6160995659999999,-7.9411764705882355,272,3,Yes,Yes,4,0.23529411764705882,-0.14343235294117646,Yes,1,4,0.23529411764705882,0.47058823529411764,0.6470588235294118,2.7705882352941176,2.3,16,No,No,,,,,
12,Green Bay,Packers,True,CHI,NFC,NFC North,Open,Closed,Cover 3,15,17,17,1,-0.634926262,-21.176470588235293,272,8,Yes,No,6,0.35294117647058826,0.006685294117647047,No,1,4,0.23529411764705882,0.7058823529411765,0.8235294117647058,2.5823529411764703,2.1999999999999997,16,No,No,0.058823529411764705,0.058823529411764705,,,
22,New England,Patriots,True,BUF,AFC,AFC East,Closed,Closed,Cover 1,16,24,24,6,-0.609956775125,-7.5,343,4,No,No,9,0.375,-0.055518749999999985,No,1,4,0.16666666666666666,0.2916666666666667,0.625,3.0708333333333333,2.533333333333333,14.291666666666666,No,No,,,1,,
30,Tampa Bay,Buccaneers,True,NO,NFC,NFC South,Closed,Closed,Cover 3,16,17,17,,-0.6133236440000001,-7.9411764705882355,248,3,No,Yes,8,0.47058823529411764,0.03503823529411765,Yes,1,4,0.23529411764705882,0.5294117647058824,0.7058823529411765,3.1,2.3375,14.588235294117647,No,No,,,,,
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2,17,22,22,2,-0.666728296,-14.318181818181818,247,7,Yes,Yes,7,0.3181818181818182,-0.07816363636363635,Yes,1,3,0.13636363636363635,0.45454545454545453,0.7272727272727273,2.872727272727273,2.3714285714285714,11.227272727272727,No,No,,,,,
31,Tennessee,Titans,True,HST,AFC,AFC South,Open,Open,Cover 6,16,11,11,1,-0.511644108909091,-12.272727272727273,223,3,No,Yes,2,0.18181818181818182,-0.20825454545454544,No,1,4,0.36363636363636365,0.45454545454545453,0.9090909090909091,2.8363636363636364,2.3499999999999996,20.272727272727273,No,No,,,,,
10,Denver,Broncos,True,KC,AFC,AFC West,Open,Open,Cover 4,15,24,24,4,-0.6619958187916667,-16.875,299,9,No,Yes,6,0.25,-0.12445625,No,1,4,0.16666666666666666,0.4583333333333333,0.75,2.7458333333333336,2.25,12.458333333333334,Yes,No,,,2,,
14,Indianapolis,Colts,True,JAX,AFC,AFC South,Closed,Closed,Cover 1,15,20,20,2,-0.6285093319499999,-22.5,272,10,No,No,4,0.2,-0.1769,No,1,6,0.3,0.5,0.85,2.7600000000000002,2.675,13.6,No,No,,,1,,
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,13,17,17,1,-0.6714812286470588,-15.882352941176471,192,6,No,No,4,0.23529411764705882,-0.19112352941176472,No,1,3,0.17647058823529413,0.7647058823529411,0.8823529411764706,3.0470588235294116,3.025,11.294117647058824,No,No,,0.058823529411764705,,,
1,Arizona,Cardinals,True,SF,NFC,NFC West,Open,Open,Cover 4,14,19,19,6,-0.6433094301052631,-7.105263157894737,241,3,No,Yes,3,0.15789473684210525,-0.22681315789473686,Yes,1,4,0.21052631578947367,0.47368421052631576,0.7368421052631579,2.805263157894737,2.566666666666667,12.68421052631579,Yes,No,,,,,
6,Chicago,Bears,,GB,NFC,NFC North,Open,Closed,Cover 3,16,27,27,1,-0.6118876392222222,-6.666666666666667,436,4,Yes,No,13,0.48148148148148145,0.044014814814814805,No,1,5,0.18518518518518517,0.4074074074074074,0.7037037037037037,3.111111111111111,2.646153846153846,16.14814814814815,No,No,,,1,,
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,16,12,12,,-0.6748994191666666,,146,,No,No,4,0.3333333333333333,0.008470833333333316,No,1,1,0.08333333333333333,0.16666666666666666,0.75,2.4583333333333335,2.65,12.166666666666666,No,No,,,,39.6,
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Open,Open,Cover 4,15,18,18,4,-0.5143209945555555,-15,395,6,No,Yes,6,0.3333333333333333,-0.14438333333333336,No,1,12,0.6666666666666666,0.5,0.5555555555555556,3.344444444444444,2.466666666666667,21.944444444444443,Yes,No,,0.05555555555555555,1,,
27,Pittsburgh,Steelers,True,CIN,AFC,AFC North,Open,Closed,Cover 3,16,21,21,4,-0.6993347722857143,-8.571428571428571,201,4,No,No,8,0.38095238095238093,0.022616666666666656,No,1,4,0.19047619047619047,0.42857142857142855,0.7619047619047619,2.6523809523809527,2.6625,9.571428571428571,No,No,0.047619047619047616,,2,,
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,13,10,10,2,-0.7054067484,-13.5,91,3,No,Yes,2,0.2,-0.23727499999999999,No,1,,,0.6,0.5,3.1100000000000003,4.199999999999999,9.1,Yes,No,,0.1,,,
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,16,25,25,1,-0.60230513948,-7.2,391,4,No,No,3,0.12,-0.24862,No,1,10,0.4,0.32,0.84,2.7119999999999997,2.966666666666667,15.64,No,No,0.04,,2,,
26,Philadelphia,Eagles,True,NYG,NFC,NFC East,Open,Open,Cover 6,17,26,26,,-0.6020483442692307,-10.384615384615385,401,6,No,No,6,0.23076923076923078,-0.12450192307692308,No,1,10,0.38461538461538464,0.34615384615384615,0.8461538461538461,2.6346153846153846,2.3666666666666667,15.423076923076923,No,No,,,1,,
8,Cleveland,Browns,,BLT,AFC,AFC North,Open,Closed,Cover 1,17,17,17,3,-0.5540333560588235,-5.294117647058823,355,2,No,No,11,0.6470588235294118,0.21150882352941178,Yes,1,7,0.4117647058823529,0.4117647058823529,0.7647058823529411,3.1,2.4545454545454546,20.88235294117647,No,No,,,,,0.058823529411764705
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Open,Cover 4,14,21,21,1,-0.576787033952381,-10.714285714285714,361,5,No,Yes,6,0.2857142857142857,-0.1523,Yes,1,5,0.23809523809523808,0.47619047619047616,0.7619047619047619,3.1142857142857148,3.033333333333333,17.19047619047619,Yes,No,,,1,,
2,Atlanta,Falcons,True,CAR,NFC,NFC South,Open,Open,Cover 4,15,21,21,5,-0.5761176777619047,-15,380,7,No,Yes,6,0.2857142857142857,-0.18515714285714283,No,1,7,0.3333333333333333,0.47619047619047616,0.6190476190476191,3.304761904761905,2.283333333333333,18.095238095238095,Yes,No,,0.047619047619047616,1,,
32,Washington,Commanders,True,ATL,NFC,NFC South,Open,Open,Cover 4,12,16,16,1,-0.6226158089375,-5.625,214,2,No,No,5,0.3125,-0.06698749999999998,No,1,4,0.25,0.375,0.75,2.775,2.3,13.375,No,No,,,2,,
9,Dallas,Cowboys,,PHI,NFC,NFC East,Open,Open,Cover 4,12,12,12,2,-0.6212600261666666,-3.75,183,1,No,No,5,0.4166666666666667,-0.08644583333333333,No,1,3,0.25,0.3333333333333333,0.5,3.4916666666666667,3.0799999999999996,15.25,No,No,,,1,4.9,
19,Las Vegas,Raiders,True,LAC,AFC,AFC West,Open,Open,Cover 2,15,13,13,1,-0.7320385252307692,-13.846153846153847,98,4,No,No,1,0.07692307692307693,-0.20072307692307692,No,1,1,0.07692307692307693,0.6923076923076923,0.7692307692307693,2.1846153846153844,2.4,7.538461538461538,Yes,No,0.07692307692307693,,,,
11,Detroit,Lions,True,MIN,NFC,NFC North,Open,Open,Cover 6,17,32,32,6,-0.62418137578125,-12.65625,424,9,No,No,7,0.21875,-0.17960468749999997,Yes,1,6,0.1875,0.5,0.78125,2.884375,2.6714285714285713,13.25,No,No,0.03125,,,,
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,14,16,16,1,-0.61887235875,-5.625,231,2,No,Yes,4,0.25,-0.14458125,Yes,1,1,0.0625,0.5625,0.5625,2.8625,2.375,14.4375,No,No,,,,,
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 6,15,20,20,1,-0.6793261709999999,-15.75,225,7,No,No,3,0.15,-0.1811875,Yes,1,2,0.1,0.7,0.9,2.495,2.2333333333333334,11.25,No,No,,,,,
13,Houston,Texans,,TEN,AFC,AFC South,Open,Open,Cover 6,15,29,29,2,-0.5995100626896552,-10.862068965517242,451,7,No,Yes,11,0.3793103448275862,0.023467241379310354,No,1,8,0.27586206896551724,0.5517241379310345,0.7931034482758621,2.6379310344827585,2.1545454545454543,15.551724137931034,No,No,,,1,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Closed,Closed,Cover 1,17,21,21,2,-0.6419143208571428,-6.428571428571429,271,3,No,No,4,0.19047619047619047,-0.2524666666666667,No,1,4,0.19047619047619047,0.2857142857142857,0.7142857142857143,3.142857142857143,3.3,12.904761904761905,No,No,,,1,,
